beta1_values,term,estimate,p.value
2,x,-1.7344750891964762,0.8167408757995731
2,x,12.699519989511588,0.15791910770532014
2,x,20.462224907311885,0.10059708754266278
2,x,-4.181457960640701,0.6588013322851702
2,x,0.11346709255210781,0.9894959850426558
2,x,-1.5240598272070314,0.8668650306982852
2,x,-4.678160195964908,0.568408903000575
2,x,-1.7131887804001358,0.8640193112325972
2,x,34.06355058315161,2.820094214018879e-4
2,x,3.086556558485559,0.7279667126933174
2,x,2.4422922137002523,0.7650106944583068
2,x,-8.74857149351834,0.42625734798514336
2,x,-5.550798628348156,0.5109885219175833
2,x,0.7932694009060041,0.9308191063572286
2,x,-7.061684929642997,0.5104054571127994
2,x,7.522668500542273,0.44862699696932595
2,x,6.525042301096813,0.32801384655013754
2,x,-13.435472149446795,0.177109006706459
2,x,7.01294187829658,0.43080284585869144
2,x,1.9755515713804872,0.8147507644356942
2,x,2.8806039155263186,0.7774108923706848
2,x,5.302653680298967,0.6831548169503601
2,x,2.1564398447512567,0.8430819903151892
2,x,14.791159822386232,0.06490970566483592
2,x,1.0588914026974967,0.90746199279786
2,x,13.248642048623688,0.13848494707836
2,x,9.104785832688846,0.45112781652696876
2,x,-1.4605271706627407,0.8449940276472763
2,x,3.5385133910318656,0.7258526716748501
2,x,6.380418322981614,0.48882271753004336
2,x,-2.0859641748173687,0.815963052750471
2,x,1.3628315204968389,0.9118508356800057
2,x,7.4541884166504735,0.41843357997922637
2,x,5.715556187032779,0.5562502156394309
2,x,9.62910732142467,0.36997323845765673
2,x,6.3361814741409646,0.5084803830532647
2,x,11.630038928175408,0.2927774321000889
2,x,2.6534781385474524,0.6696711231253336
2,x,-4.095579476004527,0.6622948477379624
2,x,2.038456285622379,0.7992603437533812
2,x,8.039344121125785,0.4282105796455902
2,x,-3.788755137596957,0.7360928378341386
2,x,3.2119413849737684,0.745961994882004
2,x,-5.007084897165795,0.5820505706513417
2,x,-10.372616923048838,0.274423888726864
2,x,4.406883310223006,0.6878614126693477
2,x,1.862182405208394,0.8347286426793008
2,x,-0.7132037554573017,0.9438702583489309
2,x,6.577723082423622,0.4837959384846434
2,x,-7.667581214626717,0.5181666033320299
2,x,0.6145838253574665,0.9414421117726554
2,x,6.241775631975724,0.5529369256094967
2,x,12.292580114284997,0.09928551443052235
2,x,9.481340743693632,0.3299885215547146
2,x,15.202703364966752,0.1327886999112163
2,x,5.203024611306927,0.46260784938686805
2,x,2.876342336105261,0.8087917551392271
2,x,0.3348700698138177,0.9661252721349634
2,x,4.725731684995711,0.720904591723877
2,x,11.695706196908887,0.13843018795741024
2,x,-0.09066923971280481,0.9922240887906416
2,x,4.118730480897972,0.6903952748683204
2,x,0.26495610280177523,0.976023853783898
2,x,9.633869494072615,0.2968379458375844
2,x,-13.015096650845317,0.14409902910912128
2,x,10.33539684292799,0.34698582877902096
2,x,-10.297721001376276,0.19324505695014316
2,x,-3.106526567739161,0.7522787404807629
2,x,12.170012194347704,0.07452573328224815
2,x,23.29500537743786,0.014054888396208921
2,x,-3.7411393431942166,0.6374564012483683
2,x,13.415321827266995,0.10629530355461937
2,x,9.520976679445118,0.21031532374859072
3,x,9.485244560412173,0.23132053613716225
3,x,5.720245014322696,0.625898513295488
3,x,1.2302818217953004,0.9056908933882717
3,x,-14.744725703669168,0.27394471854861313
3,x,7.465138401210382,0.32063940751335174
3,x,12.953997541827041,0.11127152011231711
3,x,-8.26021291395498,0.3184716774580221
